Mach,CD Power-On
1.24,0.5991639719
1.25,0.5962620451
1.26,0.5933834182
1.27,0.5906146005
1.28,0.588023721
1.29,0.5855457658
1.3,0.5831627442
1.31,0.5808656467
1.32,0.5786482358
1.33,0.5765065718
1.34,0.5744373458
1.35,0.5724383746
1.36,0.5705074915
1.37,0.5686432454
1.38,0.5668443356
1.39,0.5651096228
1.4,0.5634380873
1.41,0.5618288976
1.42,0.5602813678
1.43,0.5587949798
1.44,0.557369079
1.45,0.5560032234
1.46,0.5546969849
1.47,0.5534499119
1.48,0.5522618633
1.49,0.5511323836
1.5,0.5500612085
1.51,0.5490482219
1.52,0.5480931321
1.53,0.5471958602
1.54,0.5463560969
1.55,0.5455738813
1.56,0.5448489388
1.57,0.5441813399
1.58,0.5435708385
1.59,0.5430174812
1.6,0.5425211061
1.61,0.5420817919
1.62,0.5416994068
1.63,0.5413740485
1.64,0.5411055027
1.65,0.540893983
1.66,0.5407394102
1.67,0.5406417021
1.68,0.5406010926
1.69,0.5406174115
1.7,0.5406908143
1.71,0.5408212517
1.72,0.5410087692
1.73,0.541253557
1.74,0.5415555596
1.75,0.5419149558
1.76,0.542331638
1.77,0.5428057726
1.78,0.5433374393
1.79,0.543926781
1.8,0.5445737242
1.81,0.5453615679
1.82,0.5461811242
1.83,0.547049358
1.84,0.5479663666
1.85,0.5489322698
1.86,0.5499471699
1.87,0.5510112014
1.88,0.5521245008
1.89,0.553287147
1.9,0.5544993106
1.91,0.5557609842
1.92,0.5570724423
1.93,0.5584336809
1.94,0.5598448681
1.95,0.5613062232
1.96,0.5628176973
1.97,0.5643796229
1.98,0.5657771692
1.99,0.5672252464
2,0.5687241411
2.01,0.5703959738
2.02,0.5701652787
2.03,0.5675218003
2.04,0.5649002706
2.05,0.5623003275
2.06,0.5597215771
2.07,0.5571637676
2.08,0.5546263274
2.09,0.5521091262
2.1,0.5496116382
2.11,0.5471335315
2.12,0.5446746818
2.13,0.5422346003
2.14,0.5398129974
2.15,0.5374095849
2.16,0.5350241486
2.17,0.5326562696
2.18,0.5303058674
2.19,0.5279725608
2.2,0.5256560501
2.21,0.5233561368
2.22,0.5210726259
2.23,0.5188051658
2.24,0.5165536727
2.25,0.5143177856
2.26,0.512097314
2.27,0.5098920399
2.28,0.5077018842
2.29,0.5055264382
2.3,0.5033656139
2.31,0.5012192195
2.32,0.4990870855
2.33,0.4969689343
2.34,0.4948645784
2.35,0.4927739872
2.36,0.490696938
2.37,0.4886331146
2.38,0.4865824528
2.39,0.484544885
2.4,0.4825200831
2.41,0.4805080015
2.42,0.4785084729
2.43,0.4765212904
2.44,0.4745463921
2.45,0.472583677
2.46,0.4712845888
2.47,0.4699974114
2.48,0.4687219234
2.49,0.4674579727
2.5,0.4662054938
2.51,0.4649643209
2.52,0.4637342705
2.53,0.4625153123
2.54,0.4613073681
